CustomerID,Lookalikes
C0001,"[('C0048', 0.9501943495015942), ('C0181', 0.880271259306934), ('C0190', 0.8556714262998598)]"
C0002,"[('C0077', 0.8403646226409629), ('C0083', 0.8391247865779718), ('C0029', 0.837411785131558)]"
C0003,"[('C0052', 0.8904254105927774), ('C0031', 0.7814184100182038), ('C0025', 0.7609526329457454)]"
C0004,"[('C0155', 0.9387385988800323), ('C0165', 0.9296622051887288), ('C0169', 0.9163980481948069)]"
C0005,"[('C0146', 0.9306860921554568), ('C0007', 0.8781207028141729), ('C0095', 0.8684948681522772)]"
C0006,"[('C0168', 0.9738865220777602), ('C0187', 0.9194491137266347), ('C0171', 0.9156345154721817)]"
C0007,"[('C0140', 0.93232461182827), ('C0005', 0.8781207028141729), ('C0020', 0.8488509524419038)]"
C0008,"[('C0139', 0.8803000622996827), ('C0090', 0.8559168937996567), ('C0065', 0.8479239632948845)]"
C0009,"[('C0062', 0.8963782741252846), ('C0121', 0.8685512343122338), ('C0103', 0.864506563841907)]"
C0010,"[('C0111', 0.9035541784081459), ('C0009', 0.8514960810788025), ('C0103', 0.8431907222632836)]"
C0011,"[('C0137', 0.9527178519461925), ('C0126', 0.9243082377449744), ('C0174', 0.8678800218606652)]"
C0012,"[('C0104', 0.9401302942335056), ('C0195', 0.9303887171118277), ('C0163', 0.9099346765695013)]"
C0013,"[('C0099', 0.9651141898346778), ('C0108', 0.9396359896237511), ('C0087', 0.8673701554889357)]"
C0014,"[('C0060', 0.9830045494761404), ('C0097', 0.9559032615187378), ('C0151', 0.9293044540608729)]"
C0015,"[('C0036', 0.9189794494236699), ('C0131', 0.8032741525735411), ('C0058', 0.7878089651652757)]"
C0016,"[('C0067', 0.8716147361987312), ('C0176', 0.8137537676816465), ('C0042', 0.7532469543337101)]"
C0017,"[('C0075', 0.969222801353543), ('C0041', 0.8690174527062746), ('C0101', 0.8613429017428277)]"
C0018,"[('C0117', 0.8692604464384391), ('C0079', 0.7817587527074705), ('C0082', 0.7294566862009392)]"
C0019,"[('C0172', 0.8544335656091815), ('C0119', 0.8236759138998968), ('C0081', 0.7684380658371314)]"
C0020,"[('C0140', 0.9509937701531447), ('C0078', 0.920166535437854), ('C0123', 0.8959924847229612)]"
